localisation;mois;cigarettes;tabac_a_rouler;cigares;autres_tabacs_a_fumer;tabac_a_macher;tabac_a_priser;nombre_de_jours_de_livraison;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17
Corse;2019-02;55826280;2793600;718831;108594;190200;800;20;;;;;;;;
France Continentale;2018-06;3496839605;656769368;117640746;34081147;17471240;1074525;21;;;;;;;;
Corse;2019-01;42801560;2266165;702646;103039;211600;1000;22;;;;;;;;
Corse;2018-03;30725520;2266209;647171;97569;182400;1600;22;;;;;;;;
France Continentale;2018-12;3132181050;591129727;93961007;33470716;21195350;1062075;21;;;;;;;;
France Continentale;2018-07;3828914800;671656991;119487942;34374209;23380440;1124709;22;;;;;;;;
Corse;2018-12;41706080;2479500;855318;108263;209400;1400;21;;;;;;;;
France Continentale;2018-08;3563778875;664580330;106039658;32992079;23399860;1068900;22;;;;;;;;
France Continentale;2018-03;3144061795;646420498;91758883;26202778;24005145;1082020;22;;;;;;;;
France Continentale;2018-04;3278121470;631256890;98909789;36049980;23796955;1086220;20;;;;;;;;
Corse;2018-09;54571880;3165039;762126;185810;150000;600;20;;;;;;;;
Corse;2018-07;77204440;4889812;1646269;105830;216000;1000;22;;;;;;;;
France Continentale;2019-02;2984062485;559943131;93474758;32322965;22966700;1057640;20;;;;;;;;
Corse;2018-10;50804480;2957255;767369;103346;165800;600;23;;;;;;;;
France Continentale;2019-01;3166845805;577715916;91081257;32841370;22850740;1105090;22;;;;;;;;
Corse;2018-06;59025960;3619734;1321659;92926;144400;600;21;;;;;;;;
France Continentale;2018-05;3517133820;665368819;105014019;32578849;21006290;1080678;19;;;;;;;;
Corse;2018-02;69093480;2723050;668301;46832;185000;400;20;;;;;;;;
Corse;2018-05;57057120;3783675;953109;124264;178200;1000;19;;;;;;;;
France Continentale;2018-11;3055204155;607398569;98938454;34507969;23044110;1135800;21;;;;;;;;
Corse;2018-11;43488400;2346420;878819;90895;225400;1000;21;;;;;;;;
France Continentale;2018-09;3063985055;614776269;100853655;31115746;20715400;1009233;20;;;;;;;;
France Continentale;2018-10;3498012775;638931980;113439940;36246900;24214960;1184275;23;;;;;;;;
Corse;2018-04;45646480;2913948;851990;94351;194400;0;20;;;;;;;;
France Continentale;2018-01;3460936715;624066212;93140381;25013151;22194140;1188539;22;;;;;;;;
Corse;2018-08;86396240;4572433;1274616;123964;208400;2000;22;;;;;;;;
France Continentale;2018-02;3193232565;608035222;88592966;24898268;20754260;1017802;20;;;;;;;;
Corse;2018-01;45779760;2195014;805651;72113;200600;1000;22;;;;;;;;
